
------------Таблица лексем------------
№       Лексема    № строки   № в ТИ   
0       n          0          -        
1       f          0          -        
2       i          0          0        
3       (          0          -        
4       n          0          -        
5       i          0          1        
6       ,          0          -        
7       n          0          -        
8       i          0          2        
9       )          0          -        
10      {          1          -        
11      t          2          -        
12      n          2          -        
13      i          2          3        
14      ;          2          -        
15      i          3          3        
16      =          3          -        
17      i          3          1        
18      /          3          -        
19      i          3          2        
20      ;          3          -        
21      r          4          -        
22      i          4          3        
23      ;          4          -        
24      }          5          -        
25      s          7          -        
26      f          7          -        
27      i          7          4        
28      (          7          -        
29      s          7          -        
30      i          7          5        
31      )          7          -        
32      {          8          -        
33      t          9          -        
34      s          9          -        
35      i          9          6        
36      ;          9          -        
37      i          10         6        
38      =          10         -        
39      i          10         5        
40      ;          10         -        
41      r          11         -        
42      i          11         6        
43      ;          11         -        
44      }          12         -        
45      m          15         -        
46      {          15         -        
47      b          16         -        
48      ;          16         -        
49      t          17         -        
50      n          17         -        
51      i          17         7        
52      ;          17         -        
53      t          18         -        
54      n          18         -        
55      i          18         8        
56      ;          18         -        
57      i          20         7        
58      =          20         -        
59      l          20         9        
60      ;          20         -        
61      i          21         8        
62      =          21         -        
63      l          21         10       
64      ;          21         -        
65      t          23         -        
66      n          23         -        
67      i          23         11       
68      ;          23         -        
69      i          24         11       
70      =          24         -        
71      i          24         0        
72      (          24         -        
73      i          24         7        
74      ,          24         -        
75      i          24         8        
76      )          24         -        
77      ;          24         -        
78      o          25         -        
79      (          25         -        
80      i          25         11       
81      )          25         -        
82      ;          25         -        
83      t          27         -        
84      s          27         -        
85      i          27         12       
86      ;          27         -        
87      i          28         12       
88      =          28         -        
89      l          28         13       
90      ;          28         -        
91      t          30         -        
92      s          30         -        
93      i          30         14       
94      ;          30         -        
95      i          31         14       
96      =          31         -        
97      l          31         15       
98      ;          31         -        
99      i          33         12       
100     =          33         -        
101     i          33         4        
102     (          33         -        
103     i          33         14       
104     )          33         -        
105     ;          33         -        
106     o          34         -        
107     (          34         -        
108     i          34         12       
109     )          34         -        
110     ;          34         -        
111     t          36         -        
112     n          36         -        
113     i          36         16       
114     ;          36         -        
115     i          38         16       
116     =          38         -        
117     l          38         17       
118     *          38         -        
119     (          38         -        
120     l          38         18       
121     -          38         -        
122     l          38         19       
123     )          38         -        
124     /          38         -        
125     l          38         20       
126     +          38         -        
127     l          38         21       
128     /          38         -        
129     l          38         22       
130     ;          38         -        
131     o          39         -        
132     (          39         -        
133     i          39         16       
134     )          39         -        
135     ;          39         -        
136     }          40         -        



-----------------------------------------Таблица идентификаторов-----------------------------------------
№       Имя            Тип данных    Тип                 № в ТЛ   Значение        К-во параметров Типы параметров 
0       MyFun          int           Функция             2        0               2               int int 
1       MyFuna         int           Параметр            5        0               
2       MyFunb         int           Параметр            8        0               
3       MyFunc         int           Переменная          13       0               
4       Back           string        Функция             27       NULL            1               string
5       Backstr        string        Параметр            30       NULL            
6       Backme         string        Переменная          35       NULL            
7       mx             int           Переменная          51       2               
8       my             int           Переменная          55       12              
9       ltrl           int           Литерал             59       2               
10      ltrl           int           Литерал             63       12              
11      mresult        int           Переменная          67       0               
12      mspace         string        Переменная          85       ' '             
13      ltrl           string        Литерал             89       ' '             
14      mphrase        string        Переменная          93       'Compiler'      
15      ltrl           string        Литерал             97       'Compiler'      
16      mzap           int           Переменная          113      3               
17      ltrl           int           Литерал             117      3               
18      ltrl           int           Литерал             120      5               
19      ltrl           int           Литерал             122      2               
20      ltrl           int           Литерал             125      0               
21      ltrl           int           Литерал             127      3               
22      ltrl           int           Литерал             129      6               


